Léon	NAM	Léon
doit	VER:pres	devoir
faire	VER:infi	faire
une	DET:ART	un
rédaction	NOM	rédaction
tous	PRO:IND	tout
les	DET:ART	le
dimanches	NOM	dimanche
<segmentation/>
il	PRO:PER	il
a	VER:pres	avoir
jeté	VER:pper	jeter
sa	DET:POS	son
petite	ADJ	petit
soeur	NOM	sœur
par	PRP	par
les	DET:ART	le
escaliers	NOM	escalier
et	KON	et
sa	DET:POS	son
maman	NOM	maman
s'	PRO:PER	se
est	VER:pres	être
coupé	VER:pper	couper
le	DET:ART	le
doigt	NOM	doigt
et	KON	et
il	PRO:PER	il
a	VER:pres	avoir
mis	VER:pper	mettre
un	DET:ART	un
vase	NOM	vase
avec	PRP	avec
une	DET:ART	un
fleur	NOM	fleur
sur	PRP	sur
la	DET:ART	le
fenêtre	NOM	fenêtre
et	KON	et
l'	PRO:PER	la|le
a	VER:pres	avoir
lâché	VER:pper	lâcher
sur	PRP	sur
une	DET:ART	un
dame	NOM	dame
et	KON	et
la	DET:ART	le
dame	NOM	dame
est	VER:pres	être
allée	VER:pper	aller
à	PRP	à
l'	DET:ART	le
hôpital	NOM	hôpital
.	SENT	.
