C'	PRO:DEM	ce
est	VER:pres	être
l'	DET:ART	le
histoire	NOM	histoire
de	PRP	de
Léon	NAM	Léon
qui	PRO:REL	qui
doit	VER:pres	devoir
faire	VER:infi	faire
la	DET:ART	le
rédaction	NOM	rédaction
.	SENT	.
Mais	KON	mais
tous	PRO:IND	tout
les	DET:ART	le
dimanches	NOM	dimanche
il	PRO:PER	il
ne	ADV	ne
se	PRO:PER	se
passe	VER:pres	passer
rien	ADV	rien
.	SENT	.
Alors	ADV	alors
il	PRO:PER	il
fait	VER:pres	faire
n'	ADV	ne
importe	VER:pres	importer
quoi	PRO	quoi
dans	PRP	dans
l'	DET:ART	le
appartement	NOM	appartement
.	SENT	.
Puis	ADV	puis
un	DET:ART	un
jour	NOM	jour
sa	DET:POS	son
bêtise	NOM	bêtise
tomba	VER:simp	tomber
sur	PRP	sur
sa	DET:POS	son
maitresse	NOM	maitresse
.	SENT	.
