Léo	NAM	Léo
<segmentation/>
tous	PRO:IND	tout
les	DET:ART	le
jours	NOM	jour
il	PRO:PER	il
a	VER:pres	avoir
une	DET:ART	un
rédaction	NOM	rédaction
et	KON	et
souvent	ADV	souvent
il	PRO:PER	il
a	VER:pres	avoir
un	NUM	un
"	PUN:cit	"
"	PUN:cit	"
C	NUM	C
moins	ADV	moins
"	PUN:cit	"
"	PUN:cit	"
<segmentation/>
mais	KON	mais
un	DET:ART	un
jour	NOM	jour
il	PRO:PER	il
a	VER:pres	avoir
une	DET:ART	un
idée	NOM	idée
comme	KON	comme
pousser	VER:infi	pousser
sa	DET:POS	son
soeur	NOM	sœur
dans	PRP	dans
l'	DET:ART	le
escalier	NOM	escalier
et	KON	et
elle	PRO:PER	elle
va	VER:pres	aller
à	PRP	à
l'	DET:ART	le
hôpital	NOM	hôpital
<segmentation/>
comme	KON	comme
mettre	VER:infi	mettre
de	PRP	de
la	DET:ART	le
poudre	NOM	poudre
de	PRP	de
lessive	NOM	lessive
dans	PRP	dans
la	DET:ART	le
tasse	NOM	tasse
à	PRP	à
papa	NOM	papa
<segmentation/>
il	PRO:PER	il
a	VER:pres	avoir
failli	VER:pper	faillir
mourir	VER:infi	mourir
pour	PRP	pour
cause	NOM	cause
d'	PRP	de
intoxication	NOM	intoxication
<segmentation/>
aussi	ADV	aussi
de	PRP	de
mettre	VER:infi	mettre
un	DET:ART	un
pot	NOM	pot
sur	PRP	sur
le	DET:ART	le
rebord	NOM	rebord
de	PRP	de
la	DET:ART	le
fenêtre	NOM	fenêtre
en	PRP	en
espérant	VER:ppre	espérer
que	KON	que
<incomprehensible/>
sur	PRP	sur
la	DET:ART	le
tête	NOM	tête
d'	PRP	de
un	DET:ART	un
passant	NOM	passant
.	SENT	.
