Chaque	PRO:IND	chaque
lundi	NOM	lundi
Léon	NAM	Léon
doit	VER:pres	devoir
faire	VER:infi	faire
une	DET:ART	un
rédaction	NOM	rédaction
,	PUN	,
il	PRO:PER	il
ne	ADV	ne
sait	VER:pres	savoir
pas	ADV	pas
quoi	PRO:REL	quoi
faire	VER:infi	faire
,	PUN	,
un	DET:ART	un
jour	NOM	jour
sa	DET:POS	son
maman	NOM	maman
s'	PRO:PER	se
est	VER:pres	être
coupé	VER:pper	couper
le	DET:ART	le
doigt	NOM	doigt
,	PUN	,
le	DET:ART	le
lendemain	NOM	lendemain
il	PRO:PER	il
a	VER:pres	avoir
eu	VER:pper	avoir
5	NUM	@card@
/	PUN	/
10	NUM	@card@
,	PUN	,
et	KON	et
le	DET:ART	le
lendemain	NOM	lendemain
il	PRO:PER	il
a	VER:pres	avoir
eu	VER:pper	avoir
9	NUM	@card@
,	PUN	,
3	NUM	@card@
/	PUN	/
10	NUM	@card@
,	PUN	,
un	DET:ART	un
dimanche	NOM	dimanche
il	PRO:PER	il
mit	VER:simp	mettre
un	DET:ART	un
pot	NOM	pot
de	PRP	de
fleurs	NOM	fleur
<omission type=""complément"">
et	KON	et
<omission type=""sujet"">
tomba	VER:simp	tomber
sur	PRP	sur
la	DET:ART	le
tête	NOM	tête
de	PRP	de
la	DET:ART	le
maitresse	NOM	maitresse
.	SENT	.
