Tous	PRO:IND	tout
les	DET:ART	le
lundis	NOM	lundi
c'	PRO:DEM	ce
est	VER:pres	être
la	DET:ART	le
rédaction	NOM	rédaction
<segmentation/>
il	PRO:PER	il
faut	VER:pres	falloir
dire	VER:infi	dire
ce	PRO:DEM	ce
que	PRO:REL	que
tu	PRO:PER	tu
as	VER:pres	avoir
fait	VER:pper	faire
les	DET:ART	le
dimanches	NOM	dimanche
mais	KON	mais
<suggestion>
pour	PRP	pour
|	NOM	|
chez	PRP	chez
</suggestion>
Léon	NAM	Léon
il	PRO:PER	il
ne	ADV	ne
se	PRO:PER	se
passe	VER:pres	passer
rien	ADV	rien
.	SENT	.
Il	PRO:PER	il
va	VER:pres	aller
chez	PRP	chez
ses	DET:POS	son
grands-parents	NOM	grands-parents
<segmentation/>
il	PRO:PER	il
ne	ADV	ne
fait	VER:pres	faire
rien	ADV	rien
et	KON	et
il	PRO:PER	il
mange	VER:pres	manger
<segmentation/>
il	PRO:PER	il
ne	ADV	ne
refait	VER:pres	refaire
rien	ADV	rien
et	KON	et
il	PRO:PER	il
mange	VER:pres	manger
.	SENT	.
La	DET:ART	le
première	NUM	premier
fois	NOM	foi|fois
la	DET:ART	le
maitresse	NOM	maitresse
a	VER:pres	avoir
mis	VER:pper	mettre
"	PUN:cit	"
"	PUN:cit	"
encore	ADV	encore
plus	ADV	plus
"	PUN:cit	"
"	PUN:cit	"
mais	KON	mais
une	DET:ART	un
fois	NOM	foi|fois
il	PRO:PER	il
a	VER:pres	avoir
eu	VER:pper	avoir
0.	DET:POS	@ord@
Et	NOM	Et
un	DET:ART	un
dimanche	NOM	dimanche
sa	DET:POS	son
mère	NOM	mère
se	PRO:PER	se
coupa	VER:simp	couper
le	DET:ART	le
doigt	NOM	doigt
en	PRP	en
coupant	VER:ppre	couper
le	DET:ART	le
gigot	NOM	gigot
.	SENT	.
Léon	NAM	Léon
a	VER:pres	avoir
eu	VER:pper	avoir
une	DET:ART	un
bonne	ADJ	bon
note	NOM	note
à	PRP	à
la	DET:ART	le
rédaction	NOM	rédaction
.	SENT	.
Un	DET:ART	un
autre	ADJ	autre
dimanche	NOM	dimanche
il	PRO:PER	il
a	VER:pres	avoir
poussé	VER:pper	pousser
sa	DET:POS	son
soeur	NOM	sœur
dans	PRP	dans
l'	DET:ART	le
escalier	NOM	escalier
et	KON	et
il	PRO:PER	il
a	VER:pres	avoir
eu	VER:pper	avoir
9	NUM	@card@
,	PUN	,
5	NUM	@card@
/	PUN	/
10	NUM	@card@
à	PRP	à
la	DET:ART	le
rédaction	NOM	rédaction
.	SENT	.
Il	PRO:PER	il
ne	ADV	ne
savait	VER:impf	savoir
pas	ADV	pas
quoi	PRO:REL	quoi
faire	VER:infi	faire
pour	PRP	pour
la	DET:ART	le
rédaction	NOM	rédaction
et	KON	et
il	PRO:PER	il
a	VER:pres	avoir
eu	VER:pper	avoir
une	DET:ART	un
idée	NOM	idée
<segmentation/>
il	PRO:PER	il
a	VER:pres	avoir
mis	VER:pper	mettre
un	DET:ART	un
pot	NOM	pot
de	PRP	de
fleurs	NOM	fleur
en	PRP	en
équilibre	NOM	équilibre
au	PRP:det	au
rebord	NOM	rebord
de	PRP	de
la	DET:ART	le
fenêtre	NOM	fenêtre
.	SENT	.
Et	KON	et
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
eu	VER:pper	avoir
une	DET:ART	un
dame	NOM	dame
qui	PRO:REL	qui
a	VER:pres	avoir
crié	VER:pper	crier
<segmentation/>
elle	PRO:PER	elle
s'	PRO:PER	se
est	VER:pres	être
pris	VER:pper	prendre
le	DET:ART	le
pot	NOM	pot
de	PRP	de
fleurs	NOM	fleur
mais	KON	mais
Léon	NAM	Léon
était	VER:impf	être
aux	PRP:det	au
WC	NAM	WC
.	SENT	.
Il	PRO:PER	il
a	VER:pres	avoir
vu	VER:pper	voir
le	DET:ART	le
concierge	NOM	concierge
avec	PRP	avec
la	DET:ART	le
dame	NOM	dame
.	SENT	.
Le	DET:ART	le
lundi	NOM	lundi
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
eu	VER:pper	avoir
une	DET:ART	un
remplaçante	NOM	remplaçant
<segmentation/>
elle	PRO:PER	elle
dit	VER:pres	dire
:	PUN	:
<dialogue>
-	PUN	-
Votre	DET:POS	votre
maitresse	NOM	maitresse
a	VER:pres	avoir
eu	VER:pper	avoir
une	DET:ART	un
fracture	NOM	fracture
du	PRP:det	du
crâne	NOM	crâne
.	SENT	.
</dialogue>
Et	KON	et
du	PRP:det	du
coup	NOM	coup
ils	PRO:PER	il
ont	VER:pres	avoir
fait	VER:pper	faire
<nonfini/>
